2026-05-14 09:45:45.174789+03:00,154
2026-05-14 12:37:02.174789+03:00,140
2026-05-14 14:56:24.572229+03:00,97
2026-05-14 17:33:22.334727+03:00,159
2026-05-14 20:04:30.196640+03:00,341
2026-05-14 22:20:20.171525+03:00,161
2026-05-14 23:54:06.358995+03:00,74
2026-05-15 01:15:16.786224+03:00,67
2026-05-15 02:30:30.220620+03:00,61
2026-05-15 06:57:02.725765+03:00,83
2026-05-15 10:30:20.439585+03:00,185
2026-05-15 13:31:17.455941+03:00,183
2026-05-15 16:01:31.286475+03:00,134
2026-05-15 18:37:39.554392+03:00,250
2026-05-15 20:45:39.720817+03:00,225
2026-05-15 22:45:39.644151+03:00,108
2026-05-16 00:10:47.618770+03:00,53
2026-05-16 01:31:11.706564+03:00,47
2026-05-16 02:57:48.292457+03:00,33
2026-05-16 06:54:05.894103+03:00,47
2026-05-16 09:26:37.792017+03:00,91
2026-05-16 11:25:03.293933+03:00,203
2026-05-16 12:58:29.923276+03:00,261
2026-05-16 14:11:48.480161+03:00,232
2026-05-16 15:39:04.713844+03:00,167
2026-05-16 17:24:01.436331+03:00,106
2026-05-16 18:35:28.964082+03:00,104
2026-05-16 20:04:08.773098+03:00,92
2026-05-16 21:31:52.804354+03:00,85
2026-05-16 23:03:35.353971+03:00,62
2026-05-17 00:25:41.218260+03:00,51
2026-05-17 01:23:53.349929+03:00,58
2026-05-17 02:28:46.182061+03:00,50
2026-05-17 04:27:03.937163+03:00,45
2026-05-17 08:30:50.300632+03:00,45
2026-05-17 11:27:19.146470+03:00,169
2026-05-17 13:10:05.603884+03:00,215
2026-05-17 14:39:42.286268+03:00,185
2026-05-17 16:42:54.097059+03:00,159
2026-05-17 18:01:40.405545+03:00,140
2026-05-17 19:30:58.053250+03:00,139
2026-05-17 21:01:29.301895+03:00,127
2026-05-17 22:45:26.800873+03:00,58
2026-05-18 00:00:19.159152+03:00,24
2026-05-18 01:26:54.655696+03:00,25
2026-05-18 02:32:48.579778+03:00,21
2026-05-18 07:10:11.865099+03:00,58
2026-05-18 11:32:09.584758+03:00,186
2026-05-18 15:38:54.159830+03:00,118
2026-05-18 19:29:14.533122+03:00,276
2026-05-18 21:20:45.666733+03:00,234
2026-05-18 23:15:16.412342+03:00,123
2026-05-19 00:47:35.817202+03:00,70
2026-05-19 02:08:33.702078+03:00,66
2026-05-19 04:30:43.197748+03:00,54
